Log file         : logs/cgpsa_run_20260323_110842.txt
Loaded Benchmark : ../../src/plu_files/benchmarks/add4.plu
Inputs / Outputs : 9 / 5

--- Starting 1+lambda Evolution via CGP-SA Hybrid ---
Function set     : Reduced  {BUFa, NOTa, AND, OR} (4 gates)
max_generations  : 100000000
max_nodes (n_c)  : 5000
levels_back      : 5000
total_dimensions : 15005
(1 + lambda)     : 1 + 5
mutation_rate    : 0.02
Temp max         : 5
Temp min         : 0.1
Cooling rate     : 0.95

Total_dimensions: 15005
Generation 262 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 263 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 264 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 265 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 266 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 267 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 268 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 269 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 270 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 271 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 272 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 273 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 274 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 275 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 276 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 277 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 278 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 279 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 280 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 281 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 282 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 283 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 284 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 285 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 286 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 287 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 288 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 289 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 290 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 291 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 292 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 293 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 294 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 295 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 296 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 297 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 298 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 299 | Best fitness: 158400 | Best Hamming Distance: 976
Generation 300 | Best fitness: 158400 | Best Hamming Distance: 976
Generation 301 | Best fitness: 158400 | Best Hamming Distance: 976
Generation 302 | Best fitness: 158400 | Best Hamming Distance: 976
Generation 303 | Best fitness: 158400 | Best Hamming Distance: 976
Generation 304 | Best fitness: 158400 | Best Hamming Distance: 976
Generation 305 | Best fitness: 158400 | Best Hamming Distance: 976
Generation 306 | Best fitness: 158400 | Best Hamming Distance: 976
Generation 307 | Best fitness: 158400 | Best Hamming Distance: 976
Generation 308 | Best fitness: 158400 | Best Hamming Distance: 976
Generation 309 | Best fitness: 158400 | Best Hamming Distance: 976
Generation 310 | Best fitness: 158400 | Best Hamming Distance: 976
Generation 311 | Best fitness: 158400 | Best Hamming Distance: 976
Generation 312 | Best fitness: 158400 | Best Hamming Distance: 976
Generation 313 | Best fitness: 158400 | Best Hamming Distance: 976
Generation 314 | Best fitness: 158400 | Best Hamming Distance: 976
Generation 315 | Best fitness: 158400 | Best Hamming Distance: 976
Generation 316 | Best fitness: 158400 | Best Hamming Distance: 976
Generation 317 | Best fitness: 158400 | Best Hamming Distance: 976
Generation 318 | Best fitness: 158400 | Best Hamming Distance: 976
Generation 319 | Best fitness: 158400 | Best Hamming Distance: 976
Generation 320 | Best fitness: 158400 | Best Hamming Distance: 976
Generation 321 | Best fitness: 158400 | Best Hamming Distance: 976
Generation 322 | Best fitness: 158400 | Best Hamming Distance: 976
Generation 323 | Best fitness: 158400 | Best Hamming Distance: 976
Generation 324 | Best fitness: 158400 | Best Hamming Distance: 976
Generation 325 | Best fitness: 158400 | Best Hamming Distance: 976
Generation 326 | Best fitness: 158400 | Best Hamming Distance: 976
Generation 327 | Best fitness: 158400 | Best Hamming Distance: 976
