Log file         : logs/cgpsa_run_20260323_113825.txt
Loaded Benchmark : ../../src/plu_files/add1c.plu
Inputs / Outputs : 3 / 2

--- Starting 1+lambda Evolution via CGP-SA Hybrid ---
Function set     : Reduced  {BUFa, NOTa, AND, OR} (4 gates)
max_generations  : 10000
max_nodes (n_c)  : 5000
levels_back      : 5000
total_dimensions : 15002
(1 + lambda)     : 1 + 5
mutation_rate    : 0.02
Temp max         : 5
Temp min         : 0.1
Cooling rate     : 0.95

Total_dimensions: 15002
Generation 64 | Best fitness: 1300 | Best Hamming Distance: 3
Generation 65 | Best fitness: 1300 | Best Hamming Distance: 3
Generation 66 | Best fitness: 1300 | Best Hamming Distance: 3
Generation 67 | Best fitness: 1300 | Best Hamming Distance: 3
Generation 68 | Best fitness: 1300 | Best Hamming Distance: 3
Generation 69 | Best fitness: 1300 | Best Hamming Distance: 3
Generation 70 | Best fitness: 1300 | Best Hamming Distance: 3
Generation 71 | Best fitness: 1300 | Best Hamming Distance: 3
Generation 72 | Best fitness: 1300 | Best Hamming Distance: 3
Generation 73 | Best fitness: 1300 | Best Hamming Distance: 3
Generation 74 | Best fitness: 1300 | Best Hamming Distance: 3
Generation 75 | Best fitness: 1300 | Best Hamming Distance: 3
Generation 76 | Best fitness: 1300 | Best Hamming Distance: 3
Generation 77 | Best fitness: 1300 | Best Hamming Distance: 3
Generation 78 | Best fitness: 1300 | Best Hamming Distance: 3
Generation 79 | Best fitness: 1300 | Best Hamming Distance: 3
Generation 80 | Best fitness: 1300 | Best Hamming Distance: 3
Generation 81 | Best fitness: 1300 | Best Hamming Distance: 3
Generation 82 | Best fitness: 1300 | Best Hamming Distance: 3
Generation 83 | Best fitness: 1300 | Best Hamming Distance: 3
Generation 84 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 85 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 86 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 87 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 88 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 89 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 90 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 91 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 92 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 93 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 94 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 95 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 96 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 97 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 98 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 99 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 100 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 101 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 102 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 103 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 104 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 105 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 106 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 107 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 108 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 109 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 110 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 111 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 112 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 113 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 114 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 115 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 116 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 117 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 118 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 119 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 120 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 121 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 122 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 123 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 124 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 125 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 126 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 127 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 128 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 129 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 130 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 131 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 132 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 133 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 134 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 135 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 136 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 137 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 138 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 139 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 140 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 141 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 142 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 143 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 144 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 145 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 146 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 147 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 148 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 149 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 150 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 151 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 152 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 153 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 154 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 155 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 156 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 157 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 158 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 159 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 160 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 161 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 162 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 163 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 164 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 165 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 166 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 167 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 168 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 169 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 170 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 171 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 172 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 173 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 174 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 175 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 176 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 177 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 178 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 179 | Best fitness: 1400 | Best Hamming Distance: 2
